 #  Year Month Day Hour Minute Second VelX VelY VelZ SNR1 SNR2 SNR3 
 ()    () ()  ()   ()   ()   ()  (ft/s) (ft/s) (ft/s) (dB) (dB) (dB)
  1 2018 05 23 15 43 49  0.4921  0.1670  0.0000  27.1  25.4   0.0 
  1 2018 05 23 15 43 50  0.4173  0.1381  0.0000  30.1  27.5   0.0 
  1 2018 05 23 15 43 51  0.4012  0.0167  0.0000  29.2  27.9   0.0 
  1 2018 05 23 15 43 52  0.4600  0.0755  0.0000  31.0  28.4   0.0 
  1 2018 05 23 15 43 53  0.2684  0.1145  0.0000  30.1  29.2   0.0 
  1 2018 05 23 15 43 54  0.4213  0.1362  0.0000  30.5  27.9   0.0 
  1 2018 05 23 15 43 55  0.3225  0.1017  0.0000  29.7  27.9   0.0 
  1 2018 05 23 15 43 56  0.3481  0.1667  0.0000  28.8  29.2   0.0 
  1 2018 05 23 15 43 57  0.4357  0.0505  0.0000  30.5  27.1   0.0 
  1 2018 05 23 15 43 58  0.4390  0.2054  0.0000  28.8  27.9   0.0 
  1 2018 05 23 15 43 59  0.3881  0.1040  0.0000  28.8  27.9   0.0 
  1 2018 05 23 15 44 00  0.4629  0.0719  0.0000  29.2  27.5   0.0 
  1 2018 05 23 15 44 01  0.4711  0.1030  0.0000  29.7  28.4   0.0 
  1 2018 05 23 15 44 02  0.3566  0.0246  0.0000  29.7  28.4   0.0 
  1 2018 05 23 15 44 03  0.3593  0.1558  0.0000  28.8  27.1   0.0 
  1 2018 05 23 15 44 04  0.5463  0.3002  0.0000  33.5  31.0   0.0 
  1 2018 05 23 15 44 05  0.4446  0.1188  0.0000  30.5  29.2   0.0 
  1 2018 05 23 15 44 06  0.4698  0.1033  0.0000  29.2  27.9   0.0 
  1 2018 05 23 15 44 07  0.3422  0.1414  0.0000  28.4  26.7   0.0 
  1 2018 05 23 15 44 08  0.4534  0.2247  0.0000  29.2  28.4   0.0 
  1 2018 05 23 15 44 09  0.4800  0.0623  0.0000  29.7  28.8   0.0 
  1 2018 05 23 15 44 10  0.5085  0.1250  0.0000  29.2  28.8   0.0 
  1 2018 05 23 15 44 11  0.4652  0.0925  0.0000  30.5  30.1   0.0 
  1 2018 05 23 15 44 12  0.4475  0.0699  0.0000  29.2  26.2   0.0 
  1 2018 05 23 15 44 13  0.4649  0.1644  0.0000  31.0  28.4   0.0 
  1 2018 05 23 15 44 14  0.3999  0.1332  0.0000  29.2  27.5   0.0 
  1 2018 05 23 15 44 15  0.3054  0.1775  0.0000  31.4  28.4   0.0 
  1 2018 05 23 15 44 16  0.4610  0.1690  0.0000  27.1  25.8   0.0 
  1 2018 05 23 15 44 17  0.6135  0.2093  0.0000  28.4  27.9   0.0 
  1 2018 05 23 15 44 18  0.4764  0.0394  0.0000  30.1  29.2   0.0 
  1 2018 05 23 15 44 19  0.4501  0.0597  0.0000  28.8  27.9   0.0 
  1 2018 05 23 15 44 20  0.5180  0.0663  0.0000  28.8  27.1   0.0 
  1 2018 05 23 15 44 21  0.2746 -0.0279  0.0000  27.9  26.2   0.0 
  1 2018 05 23 15 44 22  0.5164  0.0978  0.0000  29.7  29.2   0.0 
  1 2018 05 23 15 44 23  0.4793  0.0833  0.0000  27.9  25.4   0.0 
  1 2018 05 23 15 44 24  0.5003  0.1207  0.0000  28.8  28.4   0.0 
  1 2018 05 23 15 44 25  0.4216  0.0476  0.0000  28.8  26.7   0.0 
  1 2018 05 23 15 44 26  0.3547  0.2799  0.0000  29.7  27.9   0.0 
  1 2018 05 23 15 44 27  0.3973  0.1657  0.0000  28.8  27.5   0.0 
  1 2018 05 23 15 44 28  0.3881  0.0840  0.0000  30.1  27.9   0.0 
  2 2018 05 23 15 45 39  1.5157 -0.0659  0.0000  27.9  27.5   0.0 
  2 2018 05 23 15 45 40  1.2474  0.1171  0.0000  27.5  26.7   0.0 
  2 2018 05 23 15 45 41  1.6496  0.0203  0.0000  27.9  26.2   0.0 
  2 2018 05 23 15 45 42  1.5942 -0.1171  0.0000  27.9  26.2   0.0 
  2 2018 05 23 15 45 43  1.0459  0.3140  0.0000  28.8  24.9   0.0 
  2 2018 05 23 15 45 44  1.2936 -0.0502  0.0000  30.1  27.5   0.0 
  2 2018 05 23 15 45 45  1.2359  0.3606  0.0000  30.1  29.7   0.0 
  2 2018 05 23 15 45 46  1.2575  0.2142  0.0000  28.8  27.5   0.0 
  2 2018 05 23 15 45 47  1.5686 -0.1709  0.0000  27.9  26.7   0.0 
  2 2018 05 23 15 45 48  1.6299 -0.0801  0.0000  28.4  27.5   0.0 
  2 2018 05 23 15 45 49  1.3891 -0.3176  0.0000  28.4  26.7   0.0 
  2 2018 05 23 15 45 50  1.1083  0.4852  0.0000  28.8  26.2   0.0 
  2 2018 05 23 15 45 51  1.2982 -0.0646  0.0000  28.8  27.1   0.0 
  2 2018 05 23 15 45 52  1.2740 -0.1234  0.0000  27.9  28.4   0.0 
  2 2018 05 23 15 45 53  1.0663 -0.1775  0.0000  30.5  29.2   0.0 
  2 2018 05 23 15 45 54  1.4613  0.1811  0.0000  30.1  27.5   0.0 
  2 2018 05 23 15 45 55  1.2333 -0.1204  0.0000  29.2  27.5   0.0 
  2 2018 05 23 15 45 56  1.2224 -0.2178  0.0000  29.7  27.1   0.0 
  2 2018 05 23 15 45 57  0.6696 -0.0863  0.0000  31.0  29.7   0.0 
  2 2018 05 23 15 45 58  1.2461  0.0052  0.0000  28.4  27.5   0.0 
  2 2018 05 23 15 45 59  1.5177  0.3054  0.0000  29.7  27.1   0.0 
  2 2018 05 23 15 46 00  1.1827 -0.1106  0.0000  27.9  27.9   0.0 
  2 2018 05 23 15 46 01  0.8297  0.0843  0.0000  29.2  27.9   0.0 
  2 2018 05 23 15 46 02  0.7933 -0.0787  0.0000  28.4  27.1   0.0 
  2 2018 05 23 15 46 03  1.5285  0.0148  0.0000  29.7  27.9   0.0 
  2 2018 05 23 15 46 04  1.1398  0.2710  0.0000  29.2  27.1   0.0 
  2 2018 05 23 15 46 05  1.0262  0.0935  0.0000  31.0  28.8   0.0 
  2 2018 05 23 15 46 06  1.3035 -0.4491  0.0000  29.7  26.2   0.0 
  2 2018 05 23 15 46 07  1.3983 -0.1243  0.0000  27.5  27.1   0.0 
  2 2018 05 23 15 46 08  1.1650 -0.1148  0.0000  28.8  27.1   0.0 
  2 2018 05 23 15 46 09  1.2907 -0.0203  0.0000  28.8  27.5   0.0 
  2 2018 05 23 15 46 10  1.1778  0.3625  0.0000  29.7  25.8   0.0 
